episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD,state_PURSUING,state_HOLD_-_RETURN
0,1843,36340.76470371155,40,25,4,92,2275.9999999999995,95.88352324109243,2.698498824380539,1.4179779345270394
1,1892,46597.610871886885,40,29,0,100,2521.999999999999,2.2871420334422448,93.94099557947338,3.7286181049394584
2,1849,45149.696208459995,40,26,0,100,2626.0000000000005,1.7422545005022019,94.92776017924749,3.3299853202503287
3,1232,17617.630004976698,40,20,4,92,2865.9999999999995,2.4512987012987013,94.18425324675324,3.3644480519480515
4,1851,43014.74953689652,40,30,1,98,1737.9999999999993,1.647757968665586,95.62398703403566,2.728254997298757
5,1293,17604.961298938535,40,25,5,90,1719.9999999999995,1.8870843000773396,95.56586749162155,2.547048208301109
6,1912,42788.201033657446,40,28,2,96,1776.0000000000002,1.311889818688982,96.4173640167364,2.2707461645746165
7,1850,41177.3822553199,40,24,2,96,3177.9999999999995,94.63175675675676,3.3750000000000004,1.9932432432432432
8,1935,43696.683318191645,40,29,2,96,1864.0,1.5503875968992247,95.62132957481796,2.8282828282828287
9,1851,45222.66931868981,40,21,0,100,4461.999999999998,2.4481787938241064,93.76155136626005,3.790269839915835
10,1114,9678.071454832992,40,27,6,88,1588.000000000002,2.202734428946278,94.51733186024029,3.279933710813424
11,1934,45763.80535203708,40,26,1,98,2082.0,1.5068695523711035,96.15526665681784,2.337863790811051
12,1935,47849.160341753195,40,22,0,100,3819.9999999999995,2.2021246052253804,94.57938558713754,3.2184898076370945
13,1168,11436.89026192761,40,29,6,88,1680.0000000000005,2.296077210460772,93.46201743462018,4.241905354919053
14,1232,17653.595492405522,40,29,4,92,1276.000000000001,95.29220779220779,2.8704250295159386,1.837367178276269
15,1908,42792.87739281184,40,30,2,96,1850.0,1.6457023060796647,95.30398322851153,3.0083857442348005
16,1410,21871.68349528192,40,30,5,90,1876.0,2.2624113475177303,93.34751773049645,4.326241134751773
17,1304,24217.444279087387,40,31,2,96,1197.9999999999995,1.772324471710975,94.89604635310155,3.3316291751874574
18,1370,22286.54833225039,40,30,4,92,1075.9999999999993,1.613138686131387,96.07299270072994,2.313868613138686
19,1411,30178.758645100697,40,22,1,98,3458.0,2.504134183793999,93.19237735254742,4.275927238365225
20,1233,15660.312064905764,40,25,5,90,2009.9999999999995,2.3303595566369286,94.56609894566098,3.1035414977020817
21,1935,43688.997363635506,40,29,2,96,1804.0000000000007,1.324876673713883,95.8656330749354,2.795395818651633
22,1900,44676.12130182999,40,20,1,98,3471.999999999999,1.7973684210526315,95.43157894736844,2.771052631578947
23,1236,13860.832634948152,40,30,5,90,1167.9999999999995,1.5048543689320386,95.27508090614889,3.2200647249190935
24,1940,45960.096690670274,40,23,1,98,2561.9999999999995,1.5645845967252883,96.11582777440873,2.3195876288659787
25,1937,47845.47373980998,40,24,0,100,2872.0,1.7036654620547238,95.60209086215797,2.6748838409912237
26,1287,23555.400940779793,40,23,2,96,2311.999999999998,94.7163947163947,3.1125737008089946,2.1710315827962883
27,1855,45335.69765559547,40,28,0,100,1713.999999999999,1.3881401617250675,96.15004492362984,2.461814914645103
28,1232,15543.502003211901,40,25,5,90,2060.0000000000005,2.261904761904762,94.42640692640694,3.3116883116883113
29,2049,45565.72168552079,40,27,3,94,2335.9999999999995,1.7156586702706762,95.6151218230281,2.6579569771370646
30,1275,12892.009216010454,40,26,7,86,1963.9999999999995,1.9439775910364148,94.49859943977592,3.5574229691876758
31,1844,42614.479566834925,40,30,1,98,2030.0000000000002,1.811279826464208,94.49566160520608,3.6822125813449023
32,1785,42534.40832441372,40,27,0,100,2318.000000000001,1.5470803706097822,95.00538677009267,3.447532859297565
33,1244,9650.433491675816,40,31,8,84,1324.0000000000007,2.1436227224008575,94.08717399071097,3.7156127188281527
34,1848,40876.461653476836,40,25,2,96,2889.9999999999977,1.6125541125541125,95.2056277056277,3.1818181818181817
35,1233,9276.368693593337,40,25,8,84,1903.9999999999998,2.119491754528251,94.85266288185994,3.0278453636117866
36,1837,42400.688729852365,40,24,1,98,2679.999999999999,1.6671203048448555,95.67909635274906,2.6197604790419162
37,1293,19452.46022291165,40,25,4,92,1897.9999999999977,2.0366073730342875,95.10698633668471,2.8564062902810003
38,1841,38376.10494607433,40,27,3,94,1820.0,1.4540592487360549,96.1977186311787,2.348222120085238
39,1233,17787.21844441087,40,28,4,92,1586.0000000000002,94.64044336307109,3.142741281427413,2.2168153555014873
40,1935,41798.71887880253,40,24,3,94,2696.000000000001,1.7280361757105946,95.78165374677002,2.4903100775193794
41,1212,15227.986186206377,40,27,5,90,1899.9999999999986,2.284843869002285,93.97055090124395,3.744605229753745
42,1847,36537.4261188357,40,24,4,92,2390.0000000000027,1.5498105035192207,95.95628045479157,2.4939090416892253
43,1855,45325.06520555643,40,21,0,100,4543.999999999999,2.4570861115051774,93.69555965385163,3.847354234643212
44,1240,16035.967967407163,40,24,4,92,2097.9999999999986,2.127016129032258,94.7127016129032,3.1350806451612905
45,1835,40456.991339609216,40,32,2,96,1652.0,1.8732970027247955,94.3732970027248,3.7057220708446867
46,1232,15551.726617757186,40,25,5,90,1791.9999999999998,2.045454545454546,95.15151515151514,2.8030303030303028
47,1851,39128.60422173662,40,21,3,94,4299.999999999999,2.3088515453950924,93.99186783815291,3.69928061645199
48,1911,44897.459843869045,40,28,1,98,2067.9999999999995,1.5306122448979593,96.1451247165533,2.324263038548753
49,1831,44216.03356001311,40,23,0,100,2717.9999999999995,1.712339769332091,95.63401548494875,2.6536447457191503
