episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_HOLD_INTCPT,state_PURSUING,state_GO_HOLD_INTCPT
0,1224,20252.470704822,40,26,4,92,11505.999999999998,21.42857142857143,2.351774042950513,64.97432306255835,1.4530812324929974,7.913165266106442,1.8790849673202614
1,1189,22248.42429344349,40,22,2,96,16154.945773155672,22.22222222222222,2.266143351088683,61.78861788617887,2.238108587982432,1.3923932342771705,10.09251471825063
2,1188,19155.571931836777,40,28,3,94,7443.999999999999,16.666666666666668,1.5081369248035914,74.62121212121211,1.7466329966329968,0.8698092031425366,4.587542087542087
3,1306,30186.732367989298,40,19,0,100,15893.127477263894,19.047619047619047,1.51316269233574,70.28731860278567,1.319915408736236,0.7219426821264494,7.110041566396849
4,1366,21663.60064562703,40,25,5,90,8740.0,13.333333333333334,0.31234748657881894,78.02830649097119,1.3714006832601269,0.6442166910688141,6.310395314787701
5,1505,32674.216901325788,40,26,2,96,12537.606679714643,21.42857142857143,1.5614617940199338,69.52064546748932,1.17702895111533,0.7071665875652586,5.605125771238729
6,1300,26891.818164605233,40,26,1,98,10904.000000000005,21.42857142857143,0.4010989010989011,69.1923076923077,2.4725274725274726,1.6923076923076923,4.813186813186813
7,2105,54782.26924067209,40,24,2,96,16111.589209473334,18.75,0.3117577197149644,75.43646080760095,1.1728028503562946,0.5463182897862233,3.7826603325415675
8,1153,25159.356440621916,40,22,0,100,13499.433774615474,22.22222222222222,1.2383155054447332,66.03546304326878,1.1949503710128166,1.32986412257878,7.979184735472681
9,1398,27792.215489486774,40,28,2,96,11662.0,25.0,1.126609442060086,66.91106342393896,1.859799713876967,1.2041010968049597,3.8984263233190273
10,1047,19282.584655100083,40,23,1,98,10001.252719941365,17.647058823529413,1.0169110624192372,71.48716220012359,7.157705489072421,1.7529074667116133,0.9382549581437158
11,1233,27757.418783722256,40,31,1,98,7096.0,22.22222222222222,1.7662431287735423,67.0541587816527,1.9374605749301612,0.9732360097323601,6.0466792826890154
12,1466,36258.113208822084,40,20,0,100,18145.594907282826,25.0,0.2660300136425648,67.01568894952251,2.3669849931787166,2.0327421555252387,3.3185538881309693
13,1054,20060.27782074758,40,22,1,98,12434.047589428419,22.22222222222222,0.41640312038794025,66.22390891840608,2.472064094454986,1.217583807716635,7.447817836812145
14,1304,23454.788754699723,40,27,3,94,12148.0,23.076923076923077,1.9525719679093911,67.53775365738557,0.8081642284096271,0.6606890042472864,5.9638980651250595
15,1255,15726.753614549594,40,28,6,88,10096.0,25.0,1.454183266932271,65.54448871181938,1.0424966799468791,0.9362549800796813,6.0225763612217795
16,1161,20148.2863036934,40,29,2,96,8122.000000000002,18.181818181818183,1.9888810586485002,66.84676219559941,2.2002975491347585,1.3546315871897268,9.427609427609426
17,933,14849.616582807137,40,32,2,96,1366.0,1.045016077170418,89.30868167202573,1.5407288317256165,6.752411575562701,1.3531618435155413
18,1229,15252.737236501061,40,26,6,88,10771.06767708004,21.42857142857143,0.7264907590375451,68.03440660234801,1.5575961873764967,1.4646053702196908,6.788329652446822
19,1254,25585.579243276738,40,32,2,96,6708.0,25.0,1.7942583732057416,65.33094098883572,1.2360446570972887,4.904306220095694,1.7344497607655502
20,1385,30679.491373828285,40,20,1,98,14674.938779352653,20.0,0.2202166064981949,72.28519855595667,1.5703971119133573,1.2129963898916967,4.711191335740072
21,1386,32590.162502974068,40,22,0,100,11684.0,16.666666666666664,0.5170755170755171,75.55315055315054,2.657527657527657,1.0301426968093632,3.5754369087702425
22,1198,22282.94584781084,40,27,2,96,8147.379538183069,15.384615384615385,1.874919738024913,72.17798895595223,1.9904969821497367,1.5089251316296388,7.063053807628099
23,1626,40393.02130033077,40,25,0,100,10813.486534820117,13.333333333333334,1.2546125461254611,76.65026650266502,1.767117671176712,1.1480114801148011,5.846658466584666
24,1590,40047.93388994284,40,25,0,100,9905.73882609961,13.333333333333334,1.8909853249475892,78.26834381551362,1.2872117400419285,0.9643605870020965,4.255765199161425
25,1084,12245.61867245529,40,26,6,88,10807.796786851295,21.42857142857143,1.8845545598313125,62.70426989984186,2.358987875593042,1.6605166051660516,9.963099630996311
26,1122,15096.87151600648,40,26,4,92,10932.27151524881,28.571428571428573,0.4201680672268907,64.19022154316272,0.795772854596384,0.9421950598421187,5.080213903743315
27,1022,21096.422656733248,40,17,0,100,12846.123548647975,13.043478260869565,0.08508465923593973,74.07470433080914,4.041521313707138,2.6163532715051483,6.138858163873054
28,1294,29671.652637598574,40,26,0,100,9061.10866519593,14.285714285714286,0.8997571207772136,76.29719584897329,2.3404725104879662,1.3965555310223008,4.780304703024951
29,1801,37697.34121464036,40,27,4,92,10809.015534234983,15.384615384615385,0.5595182163755177,78.93477982317515,0.7090078161705035,3.378464955366676,1.0336138042967582
30,1464,33068.31796579681,40,24,1,98,12852.000000000002,18.75,0.43118169398907097,73.50153688524588,1.9125683060109286,0.9093237704918032,4.495389344262295
31,1243,23450.07935559297,40,25,2,96,13598.000000000002,26.666666666666668,1.9361759184768035,62.274068114776085,1.7699115044247788,1.2603915258782517,6.092786269777419
32,1088,18325.278804775313,40,30,2,96,8122.0,20.0,2.9503676470588234,63.83272058823529,2.9044117647058822,1.4246323529411766,8.887867647058822
33,967,13557.381925333413,40,29,2,96,7236.000000000001,18.181818181818183,3.5254301024725017,64.91491962019366,1.0905330450314938,1.0717307511516405,11.215568299332517
34,1339,30588.489324165148,40,28,0,100,7361.999999999998,16.666666666666668,0.970873786407767,75.0435648493901,2.246701518546179,2.0475479213343295,3.0246452576549667
35,1323,24192.4813431069,40,30,3,94,13161.999999999998,40.0,0.20408163265306123,51.337868480725625,2.146636432350718,1.9123204837490553,4.399092970521542
36,1263,28650.590654309366,40,23,0,100,9489.165334044754,11.764705882352942,0.8662847561827581,77.72344092031112,2.1051651064226165,1.2901122444227098,6.250291090307857
37,1035,16475.657146963313,40,32,3,94,3412.000000000002,12.5,1.3768115942028984,78.82850241545893,0.9299516908212561,0.567632850241546,5.797101449275361
38,1583,39829.26179969648,40,22,1,98,7310.411953532541,5.555555555555555,0.48431248683933464,85.51273952411033,1.926721415034744,1.3687092019372498,5.1519618165227765
39,1056,16712.49410090791,40,26,2,96,9634.000000000002,21.42857142857143,2.435064935064935,65.5370670995671,1.9818722943722944,1.8804112554112555,6.737012987012988
40,1114,17192.379575015504,40,28,3,94,5638.000000000002,8.333333333333334,1.840215439856373,76.93746259724716,3.4335727109515255,1.9748653500897668,7.480550568521843
41,1221,24660.992407595768,40,26,1,98,10438.0,21.42857142857143,0.7312507312507311,67.85421785421785,3.416403416403416,1.6146016146016144,4.954954954954955
42,1430,29188.51162851486,40,27,2,96,6668.000000000003,7.6923076923076925,1.0650887573964496,80.6993006993007,2.232383001613771,1.3663259817105973,6.944593867670791
43,1318,25497.33197298372,40,30,2,96,7696.000000000005,20.0,1.1153262518968132,70.45523520485584,2.0333839150227617,1.1456752655538696,5.250379362670714
44,1451,35150.22873835495,40,24,0,100,11818.000000000002,18.75,0.7193314955203307,72.78600964851826,1.9340110268780153,1.7617160578911097,4.048931771192281
45,997,15554.495561986443,40,22,2,96,11308.0,16.666666666666664,2.5799621085478663,67.62509751476652,2.3459266688955758,0.8692744901370779,9.913072550986291
46,1071,23013.780255845024,40,16,0,100,11324.597240227822,12.5,0.24120759414877066,75.45907251789605,3.7931839402427645,2.2058823529411766,5.800653594771242
47,1279,13887.725252304492,40,32,7,86,7030.0,25.0,2.2283033620015638,64.96286161063331,6.499218139171228,0.6841282251759186,0.6254886630179828
48,1114,19321.700127025553,40,22,3,94,5724.289909904628,5.555555555555555,0.45880710153600646,84.97905445840813,1.2168362258128864,0.66327548374227,7.126471174945142
49,1680,33042.40130294808,40,27,4,92,13550.000000000004,23.076923076923077,1.3324175824175823,68.51190476190476,0.9386446886446885,0.46703296703296704,5.6730769230769225
